STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-08,0,"T,,7,0730",0,",,7,",0,",,7,",81,",,7",55,",,7",64,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-09,0.01,",,7,0730",0,",,7,",0,",,7,",76,",,7",64,",,7",65,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-10,0.03,",,7,0730",0,",,7,",0,",,7,",81,",,7",65,",,7",67,",,7,0730",1,",,7",1,",,7",,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-11,1.42,",,7,0730",0,",,7,",0,",,7,",77,",,7",62,",,7",65,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-12,0,"T,,7,0730",0,",,7,",0,",,7,",80,",,7",57,",,7",58,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-13,0,"T,,7,0730",0,",,7,",0,",,7,",76,",,7",56,",,7",61,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-14,0,",,7,0730",0,",,7,",0,",,7,",84,",,7",61,",,7",68,",,7,0730",,,1,",,7",,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-15,0.04,",,7,0730",0,",,7,",0,",,7,",86,",,7",62,",,7",62,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-16,0,",,7,0730",0,",,7,",0,",,7,",86,",,7",62,",,7",63,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-17,0,",,7,0730",0,",,7,",0,",,7,",88,",,7",63,",,7",66,",,7,0730",1,",,7",1,",,7",,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-18,0,"T,,7,0730",0,",,7,",0,",,7,",86,",,7",65,",,7",65,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-19,0.04,",,7,0730",0,",,7,",0,",,7,",85,",,7",65,",,7",68,",,7,0730",1,",,7",,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-20,0.55,",,7,0730",0,",,7,",0,",,7,",85,",,7",60,",,7",60,",,7,0730",1,",,7",1,",,7",,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-21,0,",,7,0730",0,",,7,",0,",,7,",74,",,7",52,",,7",53,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-22,0,",,7,0730",0,",,7,",0,",,7,",79,",,7",53,",,7",54,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-23,0,",,7,0730",0,",,7,",0,",,7,",82,",,7",52,",,7",53,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-24,0.25,",,7,0730",0,",,7,",0,",,7,",82,",,7",52,",,7",53,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-25,0,"T,,7,0730",0,",,7,",0,",,7,",75,",,7",53,",,7",55,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-26,0.01,",,7,0730",0,",,7,",0,",,7,",66,",,7",53,",,7",55,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-27,0,"T,,7,0730",0,",,7,",0,",,7,",66,",,7",48,",,7",48,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-28,0,",,7,0730",0,",,7,",0,",,7,",69,",,7",46,",,7",47,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-29,0,",,7,0730",0,",,7,",0,",,7,",77,",,7",47,",,7",60,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-30,0,"T,,7,0730",0,",,7,",0,",,7,",77,",,7",60,",,7",66,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-08-31,0.03,",,7,0730",0,",,7,",0,",,7,",84,",,7",61,",,7",61,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-01,0,",,7,0730",0,",,7,",0,",,7,",85,",,7",61,",,7",61,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-02,0,",,7,0730",0,",,7,",0,",,7,",90,",,7",61,",,7",66,",,7,0730",1,",,7",1,",,7",,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-03,0,"T,,7,0730",0,",,7,",0,",,7,",90,",,7",66,",,7",67,",,7,0730",1,",,7",1,",,7",,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-04,0.84,",,7,0730",0,",,7,",0,",,7,",89,",,7",65,",,7",65,",,7,0730",1,",,7",1,",,7",,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-05,0,",,7,0730",0,",,7,",0,",,7,",84,",,7",65,",,7",65,",,7,0730",1,",,7",1,",,7",,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-06,0,"T,,7,0730",0,",,7,",0,",,7,",80,",,7",62,",,7",62,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-07,0,",,7,0730",0,",,7,",0,",,7,",90,",,7",62,",,7",65,",,7,0730",1,",,7",,,,,,,,,,
