STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-01,0,",,0,0800",0,"P,,0",,,98,",,0",68,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-02,0,",,0,0800",0,"P,,0",,,99,",,0",66,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-03,0,",,0,0800",0,"P,,0",,,95,",,0",60,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-04,0,",,0,0800",0,"P,,0",,,95,",,0",64,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-05,0,",,0,0800",0,"P,,0",,,93,",,0",63,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-06,0,",,0,0800",0,"P,,0",,,93,",,0",57,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-07,0,",,0,0800",0,"P,,0",,,83,",,0",57,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-08,0,",,0,0800",0,"P,,0",,,84,",,0",55,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-09,0,",,0,0800",0,"P,,0",,,91,",,0",59,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-10,0,",,0,0800",0,"P,,0",,,95,",,0",67,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-11,0,",,0,0800",0,"P,,0",,,98,",,0",64,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-12,0,",,0,0800",0,"P,,0",,,100,",,0",66,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-13,0,",,0,0800",0,"P,,0",,,100,",,0",63,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-14,0,",,0,0800",0,"P,,0",,,97,",,0",62,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-15,0,",,0,0800",0,"P,,0",,,92,",,0",56,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-16,0,",,0,0800",0,"P,,0",,,91,",,0",54,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-17,0,",,0,0800",0,"P,,0",,,97,",,0",61,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-18,0,",,0,0800",0,"P,,0",,,96,",,0",59,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-19,0,",,0,0800",0,"P,,0",,,98,",,0",63,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-20,0,",,0,0800",0,"P,,0",,,100,",,0",63,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-21,0,",,0,0800",0,"P,,0",,,100,",,0",62,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-22,0,",,0,0800",0,"P,,0",,,98,",,0",70,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-23,0,",,0,0800",0,"P,,0",,,96,",,0",66,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-24,0,",,0,0800",0,"P,,0",,,100,",,0",58,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-25,0,",,0,0800",0,"P,,0",,,96,",,0",56,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-26,0,",,0,0800",0,"P,,0",,,96,",,0",56,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-27,0,",,0,0800",0,"P,,0",,,99,",,0",56,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-28,0,",,0,0800",0,"P,,0",,,98,",,0",63,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-29,0,",,0,0800",0,"P,,0",,,98,",,0",62,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-30,0,",,0,0800",0,"P,,0",,,100,",,0",64,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-08-31,0,",,0,0800",0,"P,,0",,,102,",,0",62,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-09-01,0,",,0,0800",0,"P,,0",,,100,",,0",62,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",35.4867,-119.1458,123.1,2009-09-02,0,",,0,0800",0,"P,,0",,,96,",,0",65,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
